DATA_TIMESTAMP,tn,tx,tavg,rh_avg,rr,ss,ff_x,ddd_x,ff_avg,ddd_car,KABUPATEN,JUMLAH_HOTSPOT
2019-12-03,22.6,31.5,26.0,89.0,8.5,6.6,3.0,40.0,1.0,C ,BARITO SELATAN,0
2019-02-05,23.3,32.0,26.7,87.0,8.6,5.9,3.0,230.0,1.0,C ,BARITO SELATAN,0
2019-03-05,23.2,33.4,27.8,86.0,0.2,2.5,3.0,180.0,1.0,C ,BARITO SELATAN,0
2019-04-05,23.0,34.6,28.8,82.0,,7.0,3.0,180.0,1.0,C ,BARITO SELATAN,0
2019-05-05,25.0,34.1,29.0,83.0,,8.7,3.0,210.0,1.0,C ,BARITO SELATAN,0
2019-06-05,25.0,33.6,28.4,87.0,,6.9,3.0,210.0,1.0,C ,BARITO SELATAN,0
2019-07-05,24.0,34.6,29.3,78.0,,6.7,3.0,340.0,0.0,C ,BARITO SELATAN,1
2019-08-05,24.0,35.1,29.9,82.0,,8.5,2.0,220.0,1.0,C ,BARITO SELATAN,32
2019-09-05,25.0,33.4,27.9,88.0,,7.6,3.0,270.0,1.0,C ,BARITO SELATAN,40
2019-10-05,24.0,33.1,28.1,82.0,2.4,4.0,3.0,360.0,1.0,C ,BARITO SELATAN,48
2019-11-05,24.0,32.2,27.4,88.0,2.5,7.3,2.0,3.0,0.0,C ,BARITO SELATAN,10
2019-12-05,24.0,34.0,28.8,78.0,,1.7,3.0,90.0,1.0,C ,BARITO SELATAN,0
2019-02-11,23.0,32.0,27.1,86.0,,0.9,2.0,160.0,0.0,C ,BARITO SELATAN,0
2019-03-11,23.0,33.4,28.3,82.0,,0.8,3.0,220.0,1.0,C ,BARITO SELATAN,0
2019-04-11,25.0,34.0,28.6,83.0,2.5,10.0,2.0,230.0,1.0,C ,BARITO SELATAN,0
2019-05-11,23.0,34.0,28.4,84.0,,3.7,4.0,250.0,2.0,SW,BARITO SELATAN,0
2019-06-11,23.0,34.0,28.4,82.0,,5.4,2.0,150.0,0.0,C ,BARITO SELATAN,0
2019-07-11,23.0,34.4,27.5,85.0,,5.3,6.0,50.0,2.0,C ,BARITO SELATAN,0
2019-08-11,24.0,33.8,27.2,85.0,1.1,1.9,4.0,110.0,1.0,C ,BARITO SELATAN,6
2019-09-11,25.0,33.2,26.7,87.0,0.6,5.5,4.0,290.0,1.0,C ,BARITO SELATAN,276
2019-10-11,24.0,34.1,27.5,85.0,,3.4,3.0,330.0,1.0,C ,BARITO SELATAN,4
